english_name,abbrev,lat,long,german_name,population
Baden-Württem­berg,DE-BW,48.6296972,9.1949534,Baden-Württem­berg,11069533
Bavaria,DE-BY,48.9467562,11.4038717,Bayern,13076721
Berlin,DE-BE,52.5170365,13.3888599,Berlin,3644826
Brandenburg,DE-BB,52.8455492,13.2461296,Brandenburg,2511917
Bremen,DE-HB,53.0758196,8.8071646,Bremen,682986
Hamburg,DE-HH,53.550341,10.000654,Hamburg,1841179
Hesse,DE-HE,50.6118537,9.1909725,Hessen,6265809
Mecklenburg-Vorpommern,DE-MV,53.7735234,12.5755746,Mecklenburg-Vorpommern,1609675
Lower Saxony,DE-NI,52.6763734,9.9070666,Niedersachsen,7982448
North Rhine-Westphalia,DE-NW,51.4781796,7.5542336,Nordrhein-West­falen,17932651
Rhineland-Palatinate,DE-RP,49.9531599,7.310646,Rhein­land-Pfalz,4084844
Saarland,DE-SL,49.4173988,6.9805789,Saarland,990509
Saxony,DE-SN,50.9295798,13.4585052,Sachsen,4081000
Saxony-Anhalt,DE-ST,52.0198439,11.74437,Sachsen-Anhalt,2208321
Schleswig-Holstein,DE-SH,54.0757442,9.9815377,Schles­wig-Holstein,2896712
Thuringia,DE-TH,50.8478592,11.0715009,Thüringen,2143145